#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                  rdrand.bin.bin|  1.39e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.82541455|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.88677969|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.21069117|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.60074534|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.42483647|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.93242578|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.04191104|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.67904493|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.32217977|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.84632285|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.35165072|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.89046784|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.93606984|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.73073656|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.61030128|  PASSED  
             dab_dct| 256|     50000|       1|0.47465915|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.73961994|  PASSED  
        dab_filltree|  32|  15000000|       1|0.35969006|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.33100680|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.84898346|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.41277765|  PASSED  
